run_name,memory_provider,mode,query_id,sample_id,qa_index,category,answer_correct,question,gold_answer,gold_evidence_ids,gold_evidence_count,lookup_relevant,retrieved_memory_blocks,retrieved_dia_id_count,any_hit_all_context,all_hit_all_context,first_gold_memory_block_rank,any_hit_at_1,all_hit_at_1,any_hit_at_5,all_hit_at_5,any_hit_at_10,all_hit_at_10,any_hit_at_20,all_hit_at_20,any_hit_at_50,all_hit_at_50,any_hit_at_200,all_hit_at_200
locomo-hindsight,hindsight,rag,conv-26_q0,conv-26,0,2,True,When did Caroline go to the LGBTQ support group?,7 May 2023,D1:3,1,True,47,419,True,True,11,False,False,False,False,False,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q1,conv-26,1,2,True,When did Melanie paint a sunrise?,2022,D1:12,1,True,47,419,True,True,15,False,False,False,False,False,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q2,conv-26,2,3,True,What fields would Caroline be likely to pursue in her educaton?,"Psychology, counseling certification",D1:11 D1:9,2,True,47,419,True,True,11,False,False,False,False,False,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q3,conv-26,3,1,True,What did Caroline research?,Adoption agencies,D2:8,1,True,47,419,True,True,2,False,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q4,conv-26,4,1,True,What is Caroline's identity?,Transgender woman,D1:5,1,True,47,419,True,True,16,False,False,False,False,False,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q5,conv-26,5,2,True,When did Melanie run a charity race?,The sunday before 25 May 2023,D2:1,1,True,47,419,True,True,5,False,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q6,conv-26,6,2,True,When is Melanie planning on going camping?,June 2023,D2:7,1,True,47,419,True,True,10,False,False,False,False,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q7,conv-26,7,1,True,What is Caroline's relationship status?,Single,D2:14 D3:13,2,True,47,419,True,True,1,True,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q8,conv-26,8,2,True,When did Caroline give a speech at a school?,The week before 9 June 2023,D3:1,1,True,47,419,True,True,10,False,False,False,False,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q9,conv-26,9,2,True,"When did Caroline meet up with her friends, family, and mentors?",The week before 9 June 2023,D3:11,1,True,47,419,True,True,4,False,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q10,conv-26,10,2,True,How long has Caroline had her current group of friends for?,4 years,D3:13,1,True,47,419,True,True,4,False,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q11,conv-26,11,1,True,Where did Caroline move from 4 years ago?,Sweden,D3:13 D4:3,2,True,47,419,True,True,1,True,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q12,conv-26,12,2,True,How long ago was Caroline's 18th birthday?,10 years ago,D4:5,1,True,47,419,True,True,4,False,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q13,conv-26,13,1,True,What career path has Caroline decided to persue?,counseling or mental health for Transgender people,D1:11 D4:13,2,True,47,419,True,True,5,False,False,True,False,True,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q14,conv-26,14,3,True,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,Likely no,D3:5 D4:15,2,True,47,419,True,True,3,False,False,True,False,True,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q15,conv-26,15,1,True,What activities does Melanie partake in?,"pottery, camping, painting, swimming",D1:12 D1:18 D5:4 D9:1,4,True,47,419,True,True,6,False,False,False,False,True,False,True,False,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q16,conv-26,16,2,True,When did Melanie sign up for a pottery class?,2 July 2023,D5:4,1,True,47,419,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q17,conv-26,17,2,True,When is Caroline going to the transgender conference?,July 2023,D5:13,1,True,47,419,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q18,conv-26,18,1,True,Where has Melanie camped?,"beach, mountains, forest",D4:6 D6:16 D8:32,3,True,47,419,True,True,2,False,False,True,False,True,False,True,False,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q19,conv-26,19,1,True,What do Melanie's kids like?,"dinosaurs, nature",D4:8 D6:6,2,True,47,419,True,True,28,False,False,False,False,False,False,False,False,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q20,conv-26,20,2,True,When did Melanie go to the museum?,5 July 2023,D6:4,1,True,47,419,True,True,11,False,False,False,False,False,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q21,conv-26,21,2,True,When did Caroline have a picnic?,The week before 6 July 2023,D6:11,1,True,47,419,True,True,6,False,False,False,False,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q22,conv-26,22,3,True,Would Caroline likely have Dr. Seuss books on her bookshelf?,"Yes, since she collects classic children's books",D6:9,1,True,47,419,True,True,19,False,False,False,False,False,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q23,conv-26,23,1,True,What books has Melanie read?,"""Nothing is Impossible"", ""Charlotte's Web""",D6:10 D7:8,2,True,47,419,True,True,11,False,False,False,False,False,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q24,conv-26,24,1,True,What does Melanie do to destress?,"Running, pottery",D5:4 D7:22,2,True,47,419,True,True,9,False,False,False,False,True,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q25,conv-26,25,2,True,When did Caroline go to the LGBTQ conference?,10 July 2023,D7:1,1,True,47,419,True,True,5,False,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q26,conv-26,26,2,True,"When did Melanie read the book ""nothing is impossible""?",2022,D7:8,1,True,47,419,True,True,9,False,False,False,False,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q27,conv-26,27,3,True,Would Caroline pursue writing as a career option?,"LIkely no; though she likes reading, she wants to be a counselor",D7:5 D7:9,2,True,47,419,True,True,11,False,False,False,False,False,False,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q28,conv-26,28,2,True,When did Caroline go to the adoption meeting?,The friday before 15 July 2023,D8:9,1,True,47,419,True,True,6,False,False,False,False,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q29,conv-26,29,2,True,When did Melanie go to the pottery workshop?,The Friday before 15 July 2023,D8:2,1,True,47,419,True,True,4,False,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q30,conv-26,30,3,True,Would Melanie be considered a member of the LGBTQ community?,"Likely no, she does not refer to herself as part of it",,0,False,47,419,False,True,,False,True,False,True,False,True,False,True,False,True,False,True
locomo-hindsight,hindsight,rag,conv-26_q31,conv-26,31,2,True,When did Melanie go camping in June?,The week before 27 June 2023,D4:8,1,True,47,419,True,True,10,False,False,False,False,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q32,conv-26,32,1,True,What LGBTQ+ events has Caroline participated in?,"Pride parade, school speech, support group",D1:3 D3:1 D5:1 D8:17,4,True,47,419,True,True,10,False,False,False,False,True,False,True,False,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q33,conv-26,33,2,False,When did Caroline go to a pride parade during the summer?,The week before 3 July 2023,D5:1,1,True,47,419,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q34,conv-26,34,1,True,What events has Caroline participated in to help children?,"Mentoring program, school speech",D3:3 D9:2,2,True,47,419,True,True,10,False,False,False,False,True,False,True,False,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q35,conv-26,35,2,True,When did Melanie go camping in July?,two weekends before 17 July 2023,D9:1,1,True,47,419,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q36,conv-26,36,2,True,When did Caroline join a mentorship program?,The weekend before 17 July 2023,D9:2,1,True,47,419,True,True,5,False,False,True,True,True,True,True,True,True,True,True,True
locomo-hindsight,hindsight,rag,conv-26_q37,conv-26,37,1,True,What did Melanie paint recently?,sunset,D8:6; D9:17,1,True,47,419,False,False,,False,False,False,False,False,False,False,False,False,False,False,False
