cell_id,policy_name,case_id,scenario_id,answer_correct,candidate_answer,predicted_session_ids_ranked,resolved_candidate_ids,used_memory_ids,used_pending,gold_evidence_count,predicted_session_count,any_hit_all_context,all_hit_all_context,first_gold_rank,any_hit_at_1,all_hit_at_1,any_hit_at_5,all_hit_at_5,any_hit_at_10,all_hit_at_10,any_hit_at_20,all_hit_at_20,any_hit_at_50,all_hit_at_50
primary_contract,reflection_eager_write_lite,01493427,longmemeval_01493427,False,[durable] lme-new-postcards-added-collection-since-started-collecting-again (confidence 0.73),"[""answer_a7b44747_1"", ""answer_a7b44747_2""]","[""longmemeval_01493427::obs_0::0"", ""longmemeval_01493427::obs_1::0""]","[""memory-longmemeval_01493427::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,031748ae,longmemeval_031748ae,False,[durable] lme-engineers-lead-just-started-new-role-as-senior-software-engineer (confidence 0.73),"[""answer_8748f791_1"", ""answer_8748f791_2""]","[""longmemeval_031748ae::obs_0::0"", ""longmemeval_031748ae::obs_1::0""]","[""memory-longmemeval_031748ae::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,06db6396,longmemeval_06db6396,False,[durable] lme-projects-completed-since-starting-painting-classes (confidence 0.73),"[""answer_da72b1b4_1"", ""answer_da72b1b4_2""]","[""longmemeval_06db6396::obs_0::0"", ""longmemeval_06db6396::obs_1::0""]","[""memory-longmemeval_06db6396::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,07741c44,longmemeval_07741c44,False,[durable] lme-initially-keep-old-sneakers (confidence 0.73),"[""answer_7e9ad7b4_1"", ""answer_7e9ad7b4_2""]","[""longmemeval_07741c44::obs_0::0"", ""longmemeval_07741c44::obs_1::0""]","[""memory-longmemeval_07741c44::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,07741c45,longmemeval_07741c45,False,[durable] lme-keep-old-sneakers (confidence 0.73),"[""answer_7e9ad7b4_1"", ""answer_7e9ad7b4_2""]","[""longmemeval_07741c45::obs_0::0"", ""longmemeval_07741c45::obs_1::0""]","[""memory-longmemeval_07741c45::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,08e075c7,longmemeval_08e075c7,False,[durable] lme-long-been-using-fitbit-charge (confidence 0.73),"[""answer_cdbe2250_1"", ""answer_cdbe2250_2""]","[""longmemeval_08e075c7::obs_0::0"", ""longmemeval_08e075c7::obs_1::0""]","[""memory-longmemeval_08e075c7::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,0977f2af,longmemeval_0977f2af,False,[durable] lme-new-kitchen-gadget-invest-before-getting-air-fryer (confidence 0.73),"[""answer_3bf5b73b_1"", ""answer_3bf5b73b_2""]","[""longmemeval_0977f2af::obs_0::0"", ""longmemeval_0977f2af::obs_1::0""]","[""memory-longmemeval_0977f2af::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,0ddfec37,longmemeval_0ddfec37,False,[durable] lme-autographed-baseballs-added-collection-first-three-months-collection (confidence 0.73),"[""answer_a22b654d_1"", ""answer_a22b654d_2""]","[""longmemeval_0ddfec37::obs_0::0"", ""longmemeval_0ddfec37::obs_1::0""]","[""memory-longmemeval_0ddfec37::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,0e4e4c46,longmemeval_0e4e4c46,False,[durable] lme-highest-score-ticket-ride (confidence 0.73),"[""answer_f2f998c7_1"", ""answer_f2f998c7_2""]","[""longmemeval_0e4e4c46::obs_0::0"", ""longmemeval_0e4e4c46::obs_1::0""]","[""memory-longmemeval_0e4e4c46::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
primary_contract,reflection_eager_write_lite,0f05491a,longmemeval_0f05491a,False,[durable] lme-stars-need-reach-gold-level-starbucks-rewards-app (confidence 0.73),"[""answer_d6d2eba8_1"", ""answer_d6d2eba8_2""]","[""longmemeval_0f05491a::obs_0::0"", ""longmemeval_0f05491a::obs_1::0""]","[""memory-longmemeval_0f05491a::obs_0::0""]",False,2,2,True,True,1,True,False,True,True,True,True,True,True,True,True
